Running on host: n-62-20-16
Wed Dec  3 18:06:13 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   34C    P0             26W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading AnnData...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Data stats after scaling: mean -0.000, std 1.000
Epoch 001 | train 0.7580 (rec 0.7500, kl 0.4010) | val 0.6903 (rec 0.6813, kl 0.4465) | beta 0.020
Epoch 002 | train 0.6490 (rec 0.6353, kl 0.3438) | val 0.6370 (rec 0.6231, kl 0.3475) | beta 0.040
Epoch 003 | train 0.6200 (rec 0.6023, kl 0.2952) | val 0.6427 (rec 0.6240, kl 0.3115) | beta 0.060
Epoch 004 | train 0.6091 (rec 0.5870, kl 0.2753) | val 0.6077 (rec 0.5859, kl 0.2729) | beta 0.080
Epoch 005 | train 0.5956 (rec 0.5714, kl 0.2420) | val 0.6000 (rec 0.5762, kl 0.2374) | beta 0.100
Epoch 006 | train 0.5871 (rec 0.5603, kl 0.2236) | val 0.5902 (rec 0.5646, kl 0.2134) | beta 0.120
Epoch 007 | train 0.5842 (rec 0.5553, kl 0.2058) | val 0.5881 (rec 0.5607, kl 0.1956) | beta 0.140
Epoch 008 | train 0.5751 (rec 0.5449, kl 0.1890) | val 0.5811 (rec 0.5520, kl 0.1818) | beta 0.160
Epoch 009 | train 0.5720 (rec 0.5394, kl 0.1809) | val 0.5776 (rec 0.5460, kl 0.1757) | beta 0.180
Epoch 010 | train 0.5681 (rec 0.5347, kl 0.1672) | val 0.5760 (rec 0.5436, kl 0.1616) | beta 0.200
Epoch 011 | train 0.5650 (rec 0.5306, kl 0.1566) | val 0.5764 (rec 0.5438, kl 0.1481) | beta 0.220
Epoch 012 | train 0.5633 (rec 0.5275, kl 0.1492) | val 0.5802 (rec 0.5438, kl 0.1514) | beta 0.240
Epoch 013 | train 0.5629 (rec 0.5257, kl 0.1428) | val 0.5701 (rec 0.5338, kl 0.1394) | beta 0.260
Epoch 014 | train 0.5579 (rec 0.5202, kl 0.1347) | val 0.5789 (rec 0.5419, kl 0.1320) | beta 0.280
