Running on host: n-62-20-13
Thu Dec  4 17:30:05 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   36C    P0             25W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading AnnData...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Data stats after scaling: mean -0.000, std 1.000
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 0.7154 (rec 0.7050, kl 0.4154) | val 0.6501 (rec 0.6380, kl 0.4852) | beta 0.025
Epoch 002 | train 0.6255 (rec 0.6077, kl 0.3559) | val 0.6069 (rec 0.5899, kl 0.3383) | beta 0.050
Epoch 003 | train 0.6027 (rec 0.5802, kl 0.3001) | val 0.5934 (rec 0.5687, kl 0.3293) | beta 0.075
Epoch 004 | train 0.5923 (rec 0.5659, kl 0.2637) | val 0.5844 (rec 0.5591, kl 0.2529) | beta 0.100
Epoch 005 | train 0.5788 (rec 0.5502, kl 0.2286) | val 0.5730 (rec 0.5451, kl 0.2225) | beta 0.125
Epoch 006 | train 0.5683 (rec 0.5380, kl 0.2019) | val 0.5612 (rec 0.5328, kl 0.1890) | beta 0.150
Epoch 007 | train 0.5642 (rec 0.5318, kl 0.1849) | val 0.5561 (rec 0.5253, kl 0.1760) | beta 0.175
Epoch 008 | train 0.5573 (rec 0.5240, kl 0.1668) | val 0.5506 (rec 0.5192, kl 0.1567) | beta 0.200
Epoch 009 | train 0.5548 (rec 0.5196, kl 0.1563) | val 0.5523 (rec 0.5176, kl 0.1542) | beta 0.225
Epoch 010 | train 0.5461 (rec 0.5103, kl 0.1435) | val 0.5470 (rec 0.5133, kl 0.1346) | beta 0.250
Epoch 011 | train 0.5456 (rec 0.5083, kl 0.1353) | val 0.5422 (rec 0.5064, kl 0.1304) | beta 0.275
Epoch 012 | train 0.5432 (rec 0.5053, kl 0.1263) | val 0.5505 (rec 0.5132, kl 0.1245) | beta 0.300
Epoch 013 | train 0.5396 (rec 0.5008, kl 0.1195) | val 0.5406 (rec 0.5037, kl 0.1136) | beta 0.325
Epoch 014 | train 0.5392 (rec 0.4992, kl 0.1145) | val 0.5404 (rec 0.5021, kl 0.1094) | beta 0.350
Epoch 015 | train 0.5351 (rec 0.4941, kl 0.1094) | val 0.5366 (rec 0.4975, kl 0.1042) | beta 0.375
Epoch 016 | train 0.5363 (rec 0.4939, kl 0.1058) | val 0.5365 (rec 0.4967, kl 0.0996) | beta 0.400
Epoch 017 | train 0.5347 (rec 0.4912, kl 0.1024) | val 0.5504 (rec 0.5073, kl 0.1013) | beta 0.425
Epoch 018 | train 0.5390 (rec 0.4941, kl 0.0998) | val 0.5497 (rec 0.5076, kl 0.0933) | beta 0.450
Epoch 019 | train 0.5371 (rec 0.4908, kl 0.0975) | val 0.5364 (rec 0.4926, kl 0.0922) | beta 0.475
Epoch 020 | train 0.5373 (rec 0.4902, kl 0.0941) | val 0.5368 (rec 0.4915, kl 0.0906) | beta 0.500
Epoch 021 | train 0.5346 (rec 0.4877, kl 0.0939) | val 0.5348 (rec 0.4899, kl 0.0899) | beta 0.500
Epoch 022 | train 0.5354 (rec 0.4885, kl 0.0938) | val 0.5305 (rec 0.4851, kl 0.0907) | beta 0.500
Epoch 023 | train 0.5299 (rec 0.4836, kl 0.0925) | val 0.5321 (rec 0.4872, kl 0.0900) | beta 0.500
Epoch 024 | train 0.5295 (rec 0.4832, kl 0.0925) | val 0.5396 (rec 0.4947, kl 0.0898) | beta 0.500
Epoch 025 | train 0.5290 (rec 0.4826, kl 0.0927) | val 0.5495 (rec 0.5038, kl 0.0914) | beta 0.500
Epoch 026 | train 0.5271 (rec 0.4805, kl 0.0931) | val 0.5263 (rec 0.4819, kl 0.0887) | beta 0.500
Epoch 027 | train 0.5251 (rec 0.4788, kl 0.0926) | val 0.5303 (rec 0.4856, kl 0.0895) | beta 0.500
Epoch 028 | train 0.5241 (rec 0.4779, kl 0.0924) | val 0.5274 (rec 0.4833, kl 0.0884) | beta 0.500
Epoch 029 | train 0.5245 (rec 0.4784, kl 0.0922) | val 0.5264 (rec 0.4805, kl 0.0918) | beta 0.500
Epoch 030 | train 0.5228 (rec 0.4764, kl 0.0928) | val 0.5236 (rec 0.4793, kl 0.0884) | beta 0.500
Epoch 031 | train 0.5235 (rec 0.4772, kl 0.0926) | val 0.5266 (rec 0.4814, kl 0.0904) | beta 0.500
Epoch 032 | train 0.5214 (rec 0.4751, kl 0.0926) | val 0.5199 (rec 0.4755, kl 0.0887) | beta 0.500
Epoch 033 | train 0.5201 (rec 0.4738, kl 0.0925) | val 0.5230 (rec 0.4785, kl 0.0889) | beta 0.500
Epoch 034 | train 0.5198 (rec 0.4734, kl 0.0928) | val 0.5278 (rec 0.4827, kl 0.0902) | beta 0.500
Epoch 035 | train 0.5207 (rec 0.4743, kl 0.0928) | val 0.5389 (rec 0.4903, kl 0.0971) | beta 0.500
Epoch 036 | train 0.5194 (rec 0.4732, kl 0.0926) | val 0.5187 (rec 0.4741, kl 0.0892) | beta 0.500
Epoch 037 | train 0.5178 (rec 0.4716, kl 0.0924) | val 0.5230 (rec 0.4771, kl 0.0919) | beta 0.500
Epoch 038 | train 0.5172 (rec 0.4709, kl 0.0925) | val 0.5229 (rec 0.4769, kl 0.0921) | beta 0.500
Epoch 039 | train 0.5155 (rec 0.4692, kl 0.0926) | val 0.5161 (rec 0.4707, kl 0.0908) | beta 0.500
Epoch 040 | train 0.5147 (rec 0.4685, kl 0.0923) | val 0.5208 (rec 0.4763, kl 0.0890) | beta 0.500
Epoch 041 | train 0.5152 (rec 0.4690, kl 0.0924) | val 0.5166 (rec 0.4704, kl 0.0923) | beta 0.500
Epoch 042 | train 0.5116 (rec 0.4655, kl 0.0922) | val 0.5175 (rec 0.4736, kl 0.0877) | beta 0.500
Epoch 043 | train 0.5104 (rec 0.4642, kl 0.0924) | val 0.5161 (rec 0.4700, kl 0.0922) | beta 0.500
Epoch 044 | train 0.5108 (rec 0.4645, kl 0.0926) | val 0.5156 (rec 0.4707, kl 0.0899) | beta 0.500
Epoch 045 | train 0.5123 (rec 0.4660, kl 0.0926) | val 0.5156 (rec 0.4705, kl 0.0903) | beta 0.500
Epoch 046 | train 0.5149 (rec 0.4682, kl 0.0933) | val 0.5170 (rec 0.4716, kl 0.0907) | beta 0.500
Epoch 047 | train 0.5112 (rec 0.4650, kl 0.0924) | val 0.5204 (rec 0.4747, kl 0.0913) | beta 0.500
Epoch 048 | train 0.5114 (rec 0.4650, kl 0.0927) | val 0.5158 (rec 0.4711, kl 0.0893) | beta 0.500
Epoch 049 | train 0.5084 (rec 0.4622, kl 0.0924) | val 0.5140 (rec 0.4697, kl 0.0885) | beta 0.500
Epoch 050 | train 0.5094 (rec 0.4632, kl 0.0925) | val 0.5166 (rec 0.4717, kl 0.0897) | beta 0.500
Epoch 051 | train 0.5091 (rec 0.4628, kl 0.0926) | val 0.5117 (rec 0.4677, kl 0.0879) | beta 0.500
Epoch 052 | train 0.5080 (rec 0.4616, kl 0.0927) | val 0.5112 (rec 0.4658, kl 0.0907) | beta 0.500
Epoch 053 | train 0.5060 (rec 0.4598, kl 0.0924) | val 0.5118 (rec 0.4664, kl 0.0909) | beta 0.500
Epoch 054 | train 0.5076 (rec 0.4611, kl 0.0929) | val 0.5158 (rec 0.4707, kl 0.0903) | beta 0.500
Epoch 055 | train 0.5067 (rec 0.4603, kl 0.0928) | val 0.5124 (rec 0.4676, kl 0.0896) | beta 0.500
Epoch 056 | train 0.5065 (rec 0.4601, kl 0.0928) | val 0.5115 (rec 0.4664, kl 0.0904) | beta 0.500
Epoch 057 | train 0.5041 (rec 0.4577, kl 0.0929) | val 0.5086 (rec 0.4632, kl 0.0908) | beta 0.500
Epoch 058 | train 0.5042 (rec 0.4579, kl 0.0925) | val 0.5129 (rec 0.4682, kl 0.0894) | beta 0.500
Epoch 059 | train 0.5033 (rec 0.4569, kl 0.0927) | val 0.5096 (rec 0.4649, kl 0.0894) | beta 0.500
Epoch 060 | train 0.5045 (rec 0.4580, kl 0.0931) | val 0.5151 (rec 0.4700, kl 0.0902) | beta 0.500
Epoch 061 | train 0.5054 (rec 0.4590, kl 0.0929) | val 0.5126 (rec 0.4664, kl 0.0924) | beta 0.500
Epoch 062 | train 0.5052 (rec 0.4586, kl 0.0932) | val 0.5093 (rec 0.4644, kl 0.0899) | beta 0.500
Epoch 063 | train 0.5030 (rec 0.4566, kl 0.0928) | val 0.5131 (rec 0.4692, kl 0.0878) | beta 0.500
Epoch 064 | train 0.5058 (rec 0.4592, kl 0.0932) | val 0.5120 (rec 0.4661, kl 0.0918) | beta 0.500
Epoch 065 | train 0.5021 (rec 0.4557, kl 0.0928) | val 0.5093 (rec 0.4640, kl 0.0906) | beta 0.500
Epoch 066 | train 0.5013 (rec 0.4546, kl 0.0934) | val 0.5067 (rec 0.4606, kl 0.0920) | beta 0.500
Epoch 067 | train 0.5020 (rec 0.4556, kl 0.0928) | val 0.5046 (rec 0.4597, kl 0.0897) | beta 0.500
Epoch 068 | train 0.5032 (rec 0.4567, kl 0.0930) | val 0.5068 (rec 0.4611, kl 0.0914) | beta 0.500
Epoch 069 | train 0.4984 (rec 0.4519, kl 0.0929) | val 0.5068 (rec 0.4620, kl 0.0895) | beta 0.500
Epoch 070 | train 0.5004 (rec 0.4540, kl 0.0928) | val 0.5057 (rec 0.4608, kl 0.0900) | beta 0.500
Epoch 071 | train 0.5013 (rec 0.4547, kl 0.0931) | val 0.5061 (rec 0.4610, kl 0.0902) | beta 0.500
Epoch 072 | train 0.4992 (rec 0.4526, kl 0.0933) | val 0.5088 (rec 0.4636, kl 0.0904) | beta 0.500
Epoch 073 | train 0.5000 (rec 0.4534, kl 0.0932) | val 0.5071 (rec 0.4616, kl 0.0910) | beta 0.500
Epoch 074 | train 0.5021 (rec 0.4554, kl 0.0933) | val 0.5194 (rec 0.4730, kl 0.0928) | beta 0.500
Epoch 075 | train 0.5004 (rec 0.4536, kl 0.0935) | val 0.5074 (rec 0.4629, kl 0.0890) | beta 0.500
Epoch 076 | train 0.4986 (rec 0.4522, kl 0.0929) | val 0.5051 (rec 0.4598, kl 0.0906) | beta 0.500
Epoch 077 | train 0.4983 (rec 0.4519, kl 0.0927) | val 0.5070 (rec 0.4618, kl 0.0904) | beta 0.500
Epoch 078 | train 0.4997 (rec 0.4531, kl 0.0932) | val 0.5043 (rec 0.4593, kl 0.0902) | beta 0.500
Epoch 079 | train 0.4991 (rec 0.4525, kl 0.0931) | val 0.5061 (rec 0.4609, kl 0.0903) | beta 0.500
Epoch 080 | train 0.4976 (rec 0.4510, kl 0.0933) | val 0.5021 (rec 0.4574, kl 0.0894) | beta 0.500
Epoch 081 | train 0.4975 (rec 0.4512, kl 0.0927) | val 0.5070 (rec 0.4614, kl 0.0912) | beta 0.500
Epoch 082 | train 0.4968 (rec 0.4501, kl 0.0933) | val 0.5030 (rec 0.4574, kl 0.0913) | beta 0.500
Epoch 083 | train 0.4971 (rec 0.4507, kl 0.0928) | val 0.5009 (rec 0.4562, kl 0.0895) | beta 0.500
Epoch 084 | train 0.4965 (rec 0.4500, kl 0.0930) | val 0.5016 (rec 0.4560, kl 0.0912) | beta 0.500
Epoch 085 | train 0.4954 (rec 0.4488, kl 0.0933) | val 0.5029 (rec 0.4574, kl 0.0910) | beta 0.500
Epoch 086 | train 0.4965 (rec 0.4499, kl 0.0933) | val 0.5118 (rec 0.4660, kl 0.0916) | beta 0.500
Epoch 087 | train 0.4962 (rec 0.4496, kl 0.0931) | val 0.5021 (rec 0.4564, kl 0.0914) | beta 0.500
Epoch 088 | train 0.4957 (rec 0.4492, kl 0.0931) | val 0.5053 (rec 0.4603, kl 0.0899) | beta 0.500
Epoch 089 | train 0.4950 (rec 0.4484, kl 0.0933) | val 0.5027 (rec 0.4565, kl 0.0922) | beta 0.500
Epoch 090 | train 0.4955 (rec 0.4488, kl 0.0934) | val 0.5040 (rec 0.4582, kl 0.0916) | beta 0.500
Epoch 091 | train 0.4942 (rec 0.4476, kl 0.0933) | val 0.5019 (rec 0.4564, kl 0.0910) | beta 0.500
Epoch 092 | train 0.4962 (rec 0.4494, kl 0.0935) | val 0.5015 (rec 0.4555, kl 0.0920) | beta 0.500
Epoch 093 | train 0.4934 (rec 0.4467, kl 0.0934) | val 0.5030 (rec 0.4573, kl 0.0913) | beta 0.500
Epoch 094 | train 0.4931 (rec 0.4464, kl 0.0934) | val 0.5040 (rec 0.4587, kl 0.0906) | beta 0.500
Epoch 095 | train 0.4944 (rec 0.4478, kl 0.0932) | val 0.5048 (rec 0.4588, kl 0.0921) | beta 0.500
Epoch 096 | train 0.4950 (rec 0.4483, kl 0.0934) | val 0.5036 (rec 0.4586, kl 0.0900) | beta 0.500
Epoch 097 | train 0.4949 (rec 0.4482, kl 0.0935) | val 0.5110 (rec 0.4649, kl 0.0923) | beta 0.500
Epoch 098 | train 0.4934 (rec 0.4467, kl 0.0933) | val 0.5019 (rec 0.4561, kl 0.0917) | beta 0.500
Epoch 099 | train 0.4913 (rec 0.4447, kl 0.0932) | val 0.5012 (rec 0.4556, kl 0.0912) | beta 0.500
Epoch 100 | train 0.4924 (rec 0.4459, kl 0.0929) | val 0.5029 (rec 0.4563, kl 0.0934) | beta 0.500
Epoch 101 | train 0.4944 (rec 0.4476, kl 0.0936) | val 0.5016 (rec 0.4561, kl 0.0909) | beta 0.500
Epoch 102 | train 0.4922 (rec 0.4457, kl 0.0931) | val 0.5015 (rec 0.4545, kl 0.0941) | beta 0.500
