Running on host: n-62-20-11
Thu Dec  4 12:58:28 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:3A:00.0 Off |                    0 |
| N/A   34C    P0             44W /  300W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading gene AnnData...
Data loaded.
Filtered zero-expression genes: kept 45244/45263
Using whole dataset: train 9941, val 6958, test 2983
[VAE] Epoch 001 | train 0.7149 (rec 0.7010, kl 0.5565) | val 0.9109 (rec 0.6162, kl 0.5894)
[VAE] Epoch 002 | train 0.6296 (rec 0.6059, kl 0.4739) | val 0.8133 (rec 0.5779, kl 0.4706)
[VAE] Epoch 003 | train 0.6063 (rec 0.5768, kl 0.3941) | val 0.7573 (rec 0.5626, kl 0.3894)
[VAE] Epoch 004 | train 0.5946 (rec 0.5611, kl 0.3345) | val 0.7085 (rec 0.5527, kl 0.3116)
[VAE] Epoch 005 | train 0.5833 (rec 0.5473, kl 0.2884) | val 0.6796 (rec 0.5431, kl 0.2729)
[VAE] Epoch 006 | train 0.5758 (rec 0.5370, kl 0.2584) | val 0.6522 (rec 0.5298, kl 0.2447)
[VAE] Epoch 007 | train 0.5690 (rec 0.5284, kl 0.2320) | val 0.6441 (rec 0.5318, kl 0.2247)
[VAE] Epoch 008 | train 0.5668 (rec 0.5241, kl 0.2135) | val 0.6433 (rec 0.5327, kl 0.2211)
[VAE] Epoch 009 | train 0.5663 (rec 0.5214, kl 0.1997) | val 0.6156 (rec 0.5200, kl 0.1912)
[VAE] Epoch 010 | train 0.5618 (rec 0.5145, kl 0.1891) | val 0.6041 (rec 0.5132, kl 0.1817)
[VAE] Epoch 011 | train 0.5600 (rec 0.5109, kl 0.1788) | val 0.6006 (rec 0.5131, kl 0.1750)
[VAE] Epoch 012 | train 0.5612 (rec 0.5099, kl 0.1708) | val 0.5986 (rec 0.5156, kl 0.1660)
[VAE] Epoch 013 | train 0.5624 (rec 0.5086, kl 0.1654) | val 0.6072 (rec 0.5202, kl 0.1740)
[VAE] Epoch 014 | train 0.5637 (rec 0.5076, kl 0.1603) | val 0.5897 (rec 0.5129, kl 0.1535)
[VAE] Epoch 015 | train 0.5680 (rec 0.5098, kl 0.1551) | val 0.5835 (rec 0.5091, kl 0.1487)
[VAE] Epoch 016 | train 0.5637 (rec 0.5037, kl 0.1501) | val 0.5820 (rec 0.5100, kl 0.1440)
[VAE] Epoch 017 | train 0.5671 (rec 0.5056, kl 0.1448) | val 0.5779 (rec 0.5098, kl 0.1361)
[VAE] Epoch 018 | train 0.5716 (rec 0.5078, kl 0.1418) | val 0.5805 (rec 0.5095, kl 0.1419)
[VAE] Epoch 019 | train 0.5751 (rec 0.5095, kl 0.1381) | val 0.5760 (rec 0.5099, kl 0.1323)
[VAE] Epoch 020 | train 0.5721 (rec 0.5051, kl 0.1340) | val 0.5763 (rec 0.5095, kl 0.1335)
[VAE] Epoch 021 | train 0.5732 (rec 0.5062, kl 0.1339) | val 0.5779 (rec 0.5107, kl 0.1343)
[VAE] Epoch 022 | train 0.5722 (rec 0.5056, kl 0.1332) | val 0.5709 (rec 0.5053, kl 0.1312)
[VAE] Epoch 023 | train 0.5691 (rec 0.5027, kl 0.1327) | val 0.5706 (rec 0.5075, kl 0.1262)
[VAE] Epoch 024 | train 0.5679 (rec 0.5014, kl 0.1330) | val 0.5708 (rec 0.5071, kl 0.1273)
[VAE] Epoch 025 | train 0.5694 (rec 0.5031, kl 0.1328) | val 0.5735 (rec 0.5086, kl 0.1298)
[VAE] Epoch 026 | train 0.5661 (rec 0.5002, kl 0.1320) | val 0.5726 (rec 0.5078, kl 0.1296)
