Running on host: n-62-11-15
Thu Dec  4 19:14:35 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   30C    P0             25W /  250W |       0MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Loading AnnData...
Data loaded.
Filtered zero-expression features: genes kept 45244/45263, isoforms kept 161990/162009
Data stats after scaling: mean -0.000, std 1.000
Using whole dataset: train 9941, val 6958, test 2983
Epoch 001 | train 0.7141 (rec 0.7006, kl 0.5386) | val 0.6317 (rec 0.6167, kl 0.5965) | beta 0.025
Epoch 002 | train 0.6285 (rec 0.6052, kl 0.4669) | val 0.6114 (rec 0.5874, kl 0.4790) | beta 0.050
Epoch 003 | train 0.6053 (rec 0.5758, kl 0.3931) | val 0.5929 (rec 0.5638, kl 0.3875) | beta 0.075
Epoch 004 | train 0.5948 (rec 0.5612, kl 0.3364) | val 0.5818 (rec 0.5498, kl 0.3206) | beta 0.100
Epoch 005 | train 0.5856 (rec 0.5492, kl 0.2917) | val 0.5811 (rec 0.5470, kl 0.2734) | beta 0.125
Epoch 006 | train 0.5782 (rec 0.5394, kl 0.2592) | val 0.5720 (rec 0.5332, kl 0.2584) | beta 0.150
Epoch 007 | train 0.5722 (rec 0.5311, kl 0.2352) | val 0.5720 (rec 0.5333, kl 0.2209) | beta 0.175
Epoch 008 | train 0.5672 (rec 0.5241, kl 0.2156) | val 0.5606 (rec 0.5196, kl 0.2048) | beta 0.200
Epoch 009 | train 0.5639 (rec 0.5186, kl 0.2017) | val 0.5731 (rec 0.5272, kl 0.2038) | beta 0.225
Epoch 010 | train 0.5644 (rec 0.5167, kl 0.1910) | val 0.5575 (rec 0.5112, kl 0.1850) | beta 0.250
Epoch 011 | train 0.5627 (rec 0.5130, kl 0.1806) | val 0.5631 (rec 0.5139, kl 0.1792) | beta 0.275
